cde,section,label,description,synonyms
ADAP,SUMMARY,Anthesis day,Anthesis day (dap),
ADAT,SUMMARY,Anthesis date,Anthesis date (YrDoy),Z60D ANTH FL1D ADAY ADOY
AMDY,SUMMARY,Anth to matur,Anthesis to maturity (days),
B1DAP,SUMMARY,Branch 1 dap,Days after planting to the first branch,B1DAP
B2DAP,SUMMARY,Branch 2 dap,Days after planting to the second branch,B2DAP
B3DAP,SUMMARY,Branch 3 dap,Days after planting to the third branch,B3DAP
B4DAP,SUMMARY,Branch 4 dap,Days after planting to the fourth branch,B4DAP
B5DAP,SUMMARY,Branch 5 dap,Days after planting to the fifth branch,B5DAP
B1DAT,SUMMARY,Branch 1 date,Date of first branching (YrDoy),B1DAT
B2DAT,SUMMARY,Branch 2 date,Date of second branching  (YrDoy),B2DAT
B3DAT,SUMMARY,Branch 3 date,Date of third branching (YrDoy),B3DAT
B4DAT,SUMMARY,Branch 4 date,Date of fourth branching (YrDoy),B4DAT
B5DAT,SUMMARY,Branch 5 date,Date of fifth branching (YrDoy),B5DAT
BADMF,SUMMARY,Biomass@forcing,"Above-ground biomass at forcing (pineapple, t/ha)",
BADMH,SUMMARY,Aerial t[dm]/ha,"Aerial biomass (green+dead), dm at harvest (t/ha)",
BR#SH,SUMMARY,SHOOT NO #/m2,Shoot (apex) number at harvest (no/m2),
BWAH,SUMMARY,Byproduct kg/ha,By-product removed during harvest (kg [dm]/ha),
BWAM,SUMMARY,Byproduct kg/ha,By-product produced (stalk) at maturity (kg[dm]/ha),
CFAH,SUMMARY,F cane yl t/ha,Fresh cane yield (t/ha),
CH4EM,SUMMARY,Cum CH4 emitted,Cumulative methane emitted at maturity (kg[C]/ha),
CHTA,SUMMARY,Canopy height m,Canopy height (m),
CNAA,SUMMARY,"Tops N,anthesis",Tops N at anthesis (kg/ha),
CNAM,SUMMARY,Tops N kg/ha,Tops N at maturity (kg/ha),
CO2A,SUMMARY,Avg CO2 (ppm),"Average atmospheric CO2 (ppm), planting to harvest",
CO2EM,SUMMARY,CO2emi net kg/d,Cumulative net CO2 emissions kg[C]/ha,
CPAM,SUMMARY,Tops P kg/ha,Tops P at maturity (kg/ha),
CRST,SUMMARY,Sim Status,End of season crop status,
CWAA,SUMMARY,"Tops wt,anthsis",Tops weight at anthesis (kg [dm]/ha),
CWAM,SUMMARY,Biomass kg/ha,Biomass at maturity (total crop minus roots) (kg[dm]/ha,
DMPEM,SUMMARY,DM-ET Prod,Dry matter-ET productivity (kg[DM]/ha/mm[ET]),
DMPIM,SUMMARY,DM-Irrig Prod,Dry matter-irrigation productivity (kg[DM]/ha/mm[irrig],
DMPPM,SUMMARY,DM-Rain Prod,Dry matter-rainfall productivity (kg[DM]/ha/mm[rain]),
DMPTM,SUMMARY,DM-Transp Prod,Dry matter-transp. productivity (kg[DM]/ha/mm[EP]),
DPNAM,SUMMARY,DM-N fert Prod,Dry matter-N fertilizer productivity (kg[DM]/kg[N fert],
DPNUM,SUMMARY,DM-N upt Prod,Dry matter-N uptake productivity (kg[DM]/kg[N uptake],
DRCM,SUMMARY,Drainage mm,Season water drainage (mm),
DWAP,SUMMARY,Sowing wt kg/ha,Planting material weight (kg [dm]/ha),
DAYLA,SUMMARY,Avg day (hr),"Average daylength (hr/d), planting to harvest",
E#AM,SUMMARY,Number #/m2,Eye number at maturity (no/m2),
E#UM,SUMMARY,Number #/unit,Eye number at maturity (no/fruit),
EDAP,SUMMARY,Emergence day,Emergence day (dap),
EDAT,SUMMARY,Emergence date,Emergence date (YrDoy),
ELEV,SUMMARY,Elevation  m,Elevation (m),
EPCM,SUMMARY,EP total mm,Total season transpiration (mm),
EPCP,SUMMARY,EP plant seas,"Total transpiration, planting to harvest (mm)",
ESCM,SUMMARY,ES total mm,Total season soil evaporation (mm),
ESCP,SUMMARY,ES plant seas,"Total soil evaporation, planting to harvest (mm)",
ETCM,SUMMARY,ET total mm,"Total season evapotranspiration, simulation-harvest (mm",
ETCP,SUMMARY,ET plant seas,"Total evapotranspiration, planting to harvest (mm)",
EWAM,SUMMARY,Ear wt. kg/ha,Ear (grain+chaff) or eye weight at maturity (kg [dm]/ha,
EWUM,SUMMARY,Eye wt. g,Eye weight (g),
EYLDH,SUMMARY,Eco. Yld t/ha,Economic Yield (ton/ha),
FBWAH,SUMMARY,Fr. byproduct,By-product removed during harvest fresh wt (kg/ha),
FCWAM,SUMMARY,Fr tops wt,Fresh tops weight at maturity (kg/ha),
FDAP,SUMMARY,Forcing dap,Forcing or flowering date (dap),
FDAT,SUMMARY,Forcing date,Forcing or flowering date (YrDoy),
FHWAM,SUMMARY,Fresh harvest,Harvest product fresh wt at maturity (kg/ha),
FNAM,SUMMARY,Field name,Field name,
FPWAM,SUMMARY,FreshPodWt k/h,Fresh pod (ear) weight at maturity (kg/ha),
FRN%M,SUMMARY,Fruit N% @ mat,Fruit N concentration at maturity (%),
FRNAM,SUMMARY,Fruit N @ mat,Fruit N content at maturity (kg/ha),
FWAH,SUMMARY,Fresh wt @ harv,Yield fresh weight at harvest (t/ha),
GL%M,SUMMARY,"Grain oil%,matu",Grain oil at maturity (%),
GN%M,SUMMARY,"Grain N%,mature",Grain N at maturity (%),
GNAM,SUMMARY,Grain N kg/ha,Grain N at maturity (kg/ha),
H#AM,SUMMARY,Number #/m2,Number at maturity (no/m2),
H#GM,SUMMARY,Number #/m2,Number at maturity (no/m2),
H#UM,SUMMARY,Number #/unit,Number at maturity (no/unit),
HDAP,SUMMARY,Harvest day,Harvest day (dap),
HDAT,SUMMARY,Harvest date,Harvest date (YRDOY),
HIAM,SUMMARY,Harvest index,Harvest index at maturity,
HINM,SUMMARY,N harvest index,Nitrogen harvest index at maturity (fr),
HIPM,SUMMARY,Pod index,Pod harvest index at maturity,
HPRH,SUMMARY,Purity %,Purity immediately after harvest (%),
HWAH,SUMMARY,Harvested yield,Harvested yield (kg [dm]/ha),
HWAHF,SUMMARY,Fresh yield,Harvested yield (fresh weight) (kg/ha),
HWAM,SUMMARY,Mat Yield kg/ha,Yield at harvest maturity (kg [dm]/ha),
HWUM,SUMMARY,Weight g/unit,Unit wt at maturity (g [dm]/unit),
HYAH,SUMMARY,Field wt Mg/ha,Field weight at harvest (Mg [fm]/ha),
HYEAR,SUMMARY,Harvest year,Year at harvest,
IDAP,SUMMARY,Panicle in day,Panicle Initiation day (dap),
IDAT,SUMMARY,Panicle in date,Panicle Initiation date (YrDoy),
IR#M,SUMMARY,Irrig apps #,Irrigation applications (no),
IRCM,SUMMARY,Irrig mm,Season applied irrigation (includes losses) (mm),
KI#M,SUMMARY,K application #,Number of K applications (no),
KICM,SUMMARY,K applied kg/ha,Inorganic K applied (kg/ha),
KUPC,SUMMARY,K uptake kg/ha,Seasonal cumulative K uptake (kg[K]/ha),
L#SM,SUMMARY,Leaf number #,Leaf number per stem at maturity,
L#SX,SUMMARY,Leaf number #,"Leaf number per stem, maximum",
LAIH,SUMMARY,LAI harvest,"Leaf area index, at harvest",
LAIX,SUMMARY,LAI maximum,"Leaf area index, maximum",
LIWAM,SUMMARY,Lint Yld kg/ha,Lint Yield at maturity (kg [dm]/ha),
LINTP,SUMMARY,Lint %,Lint Percentage (%),
LONG,SUMMARY,Longitude o,Longitude (degrees),
LWAH,SUMMARY,Leaf wt kg/ha,Leaf weight at harvest (kg/ha),
