RUNNO,TRNO,R#,O#,P#,CropCode,MODEL,EXNAME,TNAM,CultivarCode,WSTA,WYEAR,SoilProfileID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CropCodeST
1,1,1,0,1,MZ,MZCER048,TOUCAN25,W1F123C434               ,MZ990002,WEATHERS,2021,US02126381,        +048.96,        -101.54,        0,2021001,2021135,2021149,2021204,2021270,2021270,2021,-99,8709,3498,3498,5259,4392,0.418858171,835,119.298698,0.401653200,2.21816158,-99.0000000,-99,-99,-99,-99,-99,0,0,351,911,244,667,298,13386,407,2,122,0,120,24,12,70,90,47,5.89508533,-99,-99,-99,-99,-99,-99,-99,-99,0,20480,20480,-99,-99,155146,155146,575.390625,5.00524759,28.6656380,13.3080206,35.6752815,-99.0000000,11.5141506,5.34544420,14.3297215,-99.0000000,71.3821564,72.5718613,28.6721306,29.1499996,135,27.1066685,13.2600002,19.9170380,14.6748066,434.000000,303.800079,654.389038,411.459290,244.108032,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN44,W1F123C434               ,MZ990003,WEATHERS,2022,US02126374,        +048.96,        -102.12,        0,2022001,2022135,2022150,2022199,2022248,2022248,2022,-99,7672,3810,3810,3877,5324,0.215130150,1771,252.972870,0.496532798,0.881669521,-99.0000000,-99,-99,-99,-99,-99,0,0,449,768,126,642,378,9333,498,2,122,0,99,9,24,53,89,65,5.24384689,-99,-99,-99,-99,-99,-99,-99,-99,0,24080,24080,-99,-99,182240,182240,467.734375,3.71479845,36.2413597,13.1157103,60.7947083,-99.0000000,17.9971657,6.51315546,30.1901608,-99.0000000,62.8876724,77.4979401,31.2295074,38.4848480,113,25.8743420,12.7265463,21.5690250,15.1325989,434.000000,211.699997,584.969910,459.845001,126.200058,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN34,W1F123C434               ,MZ990002,WEATHERS,2024,US02126382,        +048.96,        -101.46,        0,2024001,2024135,2024151,2024214,2024286,2024286,2024,-99,9798,3673,3673,6168,4935,0.407753140,901,128.677750,0.374858558,2.18407893,-99.0000000,-99,-99,-99,-99,-99,0,0,435,888,222,666,377,12217,488,2,122,0,121,18,11,67,99,52,10.5982141,-99,-99,-99,-99,-99,-99,-99,-99,0,19194,19194,-99,-99,145573,145573,554.250000,4.98741293,34.0795135,14.6481123,44.0430794,-99.0000000,12.7756481,5.49125004,16.5107670,-99.0000000,80.3103561,80.9740753,30.1065578,30.3553715,151,25.2662239,11.9006624,18.6940327,14.3018484,434.000000,287.500092,668.882324,447.055084,222.460907,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN09,W1F123C434               ,MZ990003,WEATHERS,2022,US02126386,        +048.96,        -101.12,        0,2022001,2022135,2022151,2022199,2022249,2022249,2022,-99,8233,3937,3937,4313,5360,0.218029305,1806,257.969116,0.478208661,1.07182550,-99.0000000,-99,-99,-99,-99,-99,0,0,459,762,146,616,395,11349,381,2,122,0,108,14,21,68,95,66,5.81187201,-99,-99,-99,-99,-99,-99,-99,-99,0,28297,28297,-99,-99,214292,214292,630.375000,4.77944136,37.4742584,14.0910015,56.4186554,-99.0000000,17.9198895,6.73820305,26.9789467,-99.0000000,67.4843903,76.2323685,32.2704926,36.4537048,114,25.6666660,12.7517500,21.5342102,15.1136112,434.000000,219.700027,584.280396,439.634430,145.928604,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN22,W1F123C434               ,MZ990003,WEATHERS,2021,US02126378,        +048.96,        -101.79,        0,2021001,2021135,2021150,2021193,2021236,2021236,2021,-99,6920,1821,1821,5129,2798,0.190728739,955,136.362244,0.263094008,1.65089059,-99.0000000,-99,-99,-99,-99,-99,0,0,267,795,185,610,225,11050,493,2,122,0,92,19,34,59,69,28,5.81963062,-99,-99,-99,-99,-99,-99,-99,-99,0,20979,20979,-99,-99,158969,158969,511.296875,3.69386721,32.4267120,12.8273468,37.3453331,-99.0000000,8.53327084,3.37558818,9.82763290,-99.0000000,56.7201653,75.2158737,14.9262295,19.7934780,101,28.1326771,14.3782206,21.4881172,15.3434057,434.000000,213.399994,539.461548,354.925964,185.293854,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN15,W1F123C434               ,MZ990001,WEATHERS,2023,US02126365,        +048.96,        -102.88,        0,2023001,2023135,2023145,2023220,2023305,2023305,2023,-99,5877,1361,1361,4569,1836,0.297148496,458,65.4358521,0.231579021,2.01869082,-99.0000000,-99,-99,-99,-99,-99,0,0,389,909,232,677,323,10575,488,2,122,0,105,11,16,44,68,18,2.80661678,-99,-99,-99,-99,-99,-99,-99,-99,0,14979,14979,-99,-99,113411,113411,271.398438,4.45680046,25.4875908,8.41697598,25.3417873,-99.0000000,5.90199423,1.94906390,5.86823130,-99.0000000,48.1757278,55.9756088,11.1557379,12.9619045,170,24.0605831,11.0676451,17.5082340,13.8343306,434.000000,230.600021,698.283936,466.356903,231.926773,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN26,W1F123C434               ,MZ990003,WEATHERS,2021,US02126368,        +048.96,        -102.62,        0,2021001,2021135,2021150,2021192,2021234,2021234,2021,-99,6816,1699,1699,5146,2809,0.189225778,898,128.255005,0.249252826,1.63985133,-99.0000000,-99,-99,-99,-99,-99,0,0,233,801,186,615,192,8568,487,2,122,0,87,10,32,41,65,25,4.08698130,-99,-99,-99,-99,-99,-99,-99,-99,0,16353,16353,-99,-99,123873,123873,314.468750,3.57974362,37.7393875,12.4709291,36.6310463,-99.0000000,9.40753078,3.10870600,9.13124847,-99.0000000,55.8666649,78.3417587,13.9262295,19.5287361,99,28.4646473,14.5303040,21.9575806,15.3751688,434.000000,180.599991,546.529663,360.722076,186.064377,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN00,W1F123C434               ,MZ990003,WEATHERS,2023,US02126390,        +048.96,        -100.79,        0,2023001,2023135,2023145,2023193,2023245,2023245,2023,-99,9251,3297,3297,5984,4905,0.234299093,1407,201.041977,0.356428534,1.66789317,-99.0000000,-99,-99,-99,-99,-99,0,0,305,746,216,530,249,11609,384,2,122,0,129,14,15,79,99,56,8.49672127,-99,-99,-99,-99,-99,-99,-99,-99,0,29869,29869,-99,-99,226821,226821,727.734375,4.96785164,64.5560379,16.7575340,42.8195686,-99.0000000,23.0076828,5.97236204,15.2608347,-99.0000000,75.8268661,71.7122345,27.0245895,25.5581398,110,27.2245426,14.1245461,20.6745415,15.1883278,434.000000,143.299957,552.042908,338.421051,216.043228,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN11,W1F123C434               ,MZ990003,WEATHERS,2022,US02126381,        +048.96,        -101.54,        0,2022001,2022135,2022151,2022199,2022249,2022249,2022,-99,7961,3708,3708,4270,5142,0.215136632,1724,246.248016,0.465845168,1.08540440,-99.0000000,-99,-99,-99,-99,-99,0,0,459,759,143,616,395,11077,364,2,122,0,104,11,17,51,90,62,7.14672375,-99,-99,-99,-99,-99,-99,-99,-99,0,20494,20494,-99,-99,155158,155158,434.250000,3.37510729,36.2337646,13.6870127,55.5500336,-99.0000000,16.8775578,6.37536144,25.8750076,-99.0000000,65.2504807,76.5438385,30.3934422,35.6538467,114,25.6666660,12.7517500,21.5342102,15.1136112,434.000000,219.700027,581.614075,439.605164,143.304306,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN32,W1F123C434               ,MZ990002,WEATHERS,2024,US02126392,        +048.96,        -100.62,        0,2024001,2024135,2024152,2024216,2024310,2024310,2024,-99,9884,4126,4126,5798,5401,0.460559785,896,127.983772,0.417446643,2.00840592,-99.0000000,-99,-99,-99,-99,-99,0,0,505,910,215,695,447,15505,374,2,122,0,129,26,6,78,104,62,11.7147894,-99,-99,-99,-99,-99,-99,-99,-99,0,22486,22486,-99,-99,170325,170325,667.156250,4.59141350,28.7162056,14.1316328,45.8900490,-99.0000000,11.9872150,5.89907074,19.1562176,-99.0000000,81.0173721,76.6210785,33.8196716,31.9844971,175,22.7142811,10.0239983,17.2919941,13.7092495,434.000000,344.200043,699.432190,484.045013,215.386978,32,
